id,name,population
0037,Harjumaa,582509
0039,Hiiumaa,9335
0045,Ida-Virumaa,140388 
0050,Jõgevamaa,29510
0052,Järvamaa,30978
0056,Läänemaa,20720
0060,Lääne-Virumaa,60411
0064,Põlvamaa,25561
0068,Pärnumaa,86163
0071,Raplamaa,33485
0074,Saaremaa,33307
0079,Tartumaa,149295
0081,Valgamaa,29073
0084,Viljandimaa,47288
0087,Võrumaa,36440
County unknown,1172
